# KJV word help
#
# One entry per line:   forms | kind | meaning | today | verses
#   forms   comma-separated, lowercase; a form with spaces is a phrase
#   kind    archaic   a word or form no longer in ordinary use
#           changed   still in use, but the KJV meaning is different (a "false friend")
#           unit      an old measure, weight or coin
#   meaning what it means in the KJV
#   today   (optional) what a modern reader is likely to assume instead
#   verses  (optional) "@ Book 1:2; Book 3:4": the entry applies only in these verses, for words
#           that keep their modern meaning everywhere else
#           "@! Book 1:2; Book 3:4": the entry applies everywhere EXCEPT these verses
# Lines starting with # are comments. The definitions are written for the KJV's own usage.

# ---- Where, when and how: adverbs and conjunctions -------------------------------------------
whither | archaic | to what place; to where
infidel | changed | an unbeliever; someone without faith | Today: an enemy of a religion
entertain | changed | welcome as a guest; show hospitality to | Today: amuse
convince, convinced, convinceth | changed | prove wrong; refute; show to be guilty | Today: persuade
condescend | changed | associate with; be willing to stay with (someone of low position) | Today: talk down to
novice | changed | a new convert; someone new to the faith | Today: a beginner
pilgrims, pilgrimage | changed | a foreigner passing through; a temporary resident (life as a journey) | Today: a traveller to a holy place
publish, published, publisheth | changed | announce; make known; spread the news | Today: print and sell a book
purge, purged, purgeth, purging | changed | cleanse; purify; prune | Today: get rid of people
riot, riotous, rioting | changed | wild, reckless living; wasteful excess | Today: a violent public disturbance
salute, saluted, saluteth, salutation, salutations | changed | greet; a greeting | Today: a military gesture
simple | changed | naive; inexperienced; gullible (sometimes: innocent) | Today: easy or plain
simplicity | changed | sincerity; single-hearted honesty | Today: plainness
substance | changed | possessions; property; wealth ("substance of things hoped for" = assurance) | Today: material; something solid
terrible, terribly, terribleness | changed | awe-inspiring; to be feared; fearsome | Today: very bad
token, tokens | changed | a sign; proof; evidence | Today: a small coin or marker
translate, translated | changed | transfer; move from one place to another | Today: turn into another language
venison | changed | meat from a hunted wild animal | Today: deer meat
visit, visited, visiteth, visitation | changed | come to help, care for, or judge (of God: to step in, to bless or to punish) | Today: pay a social call
mistress | changed | the woman in charge of a household or of servants | Today: a man's lover
manifold | archaic | many; of many kinds; many times over
devils | changed | demons; evil spirits | Today: the Devil (Satan), a single being
prove, proved, proveth, proving | changed | test; try out (also: show to be true) | Today: show that something is true
tempt, tempted, tempteth, tempting, temptation, temptations, tempter | changed | test; put to the proof (also: entice to sin) | Today: lure into doing wrong
communication, communications | changed | talk; conversation; speech (in Philemon 1:6, sharing) | Today: a message or contact
potentate | archaic | a ruler; sovereign
presidents | changed | a high official; a chief administrator | Today: the head of a country
untoward | archaic | crooked; perverse
upbraid, upbraided, upbraideth | archaic | scold; reproach; find fault with
savour, savours | archaic | smell; aroma (also: flavour)
frontlets | archaic | bands worn on the forehead
familiar spirit, familiar spirits | archaic | a spirit consulted by a medium; a spirit said to give secret knowledge

# Phrases whose words look ordinary but mean something else.
i pray thee, i pray you, we pray thee, we pray you, pray thee, pray you | changed | please; I ask you (not a prayer to God) | Today: to speak to God
jealous god | changed | a God who guards his relationship with his people and will not share their loyalty | Today: envious
respect of persons, respecter of persons, respect to persons | changed | favouritism; treating people differently because of their status | Today: regard for others
had respect unto, have respect unto, have respect to | changed | look on with favour; pay attention to | Today: admire
god speed | archaic | a greeting that wishes someone success
good speed | archaic | success; a good outcome
evil communications corrupt good manners | changed | bad company ruins good character | Today: rude messages spoil politeness
tables of stone, tables of the covenant, tables of testimony, tables of the testimony, table of thine heart, fleshy tables of the heart | changed | flat slabs for writing on; tablets | Today: furniture

# Familiar words that changed meaning in only some verses: applied just where the KJV sense is meant.
knew, known, know | changed | had marital relations with (a polite expression) | Today: was acquainted with | @ Genesis 4:1; Genesis 4:17; Genesis 4:25; Genesis 19:5; Genesis 19:8; Genesis 24:16; Genesis 38:26; Numbers 31:17; Numbers 31:18; Numbers 31:35; Judges 11:39; Judges 19:22; Judges 19:25; Judges 21:12; 1 Samuel 1:19; 1 Kings 1:4; Matthew 1:25; Luke 1:34
whole | changed | healed; healthy; restored to health | Today: complete | @ Joshua 5:8; Job 5:18; Matthew 9:12; Matthew 9:21; Matthew 9:22; Matthew 14:36; Matthew 15:28; Matthew 15:31; Mark 2:17; Mark 5:28; Mark 5:34; Mark 6:56; Mark 10:52; Luke 5:31; Luke 7:10; Luke 8:48; Luke 8:50; Luke 17:19; John 5:4; John 5:6; John 5:9; John 5:14; John 5:15; John 7:23; Acts 4:9; Acts 4:10; Acts 9:34
clean | changed | completely; entirely | Today: not dirty | @ Leviticus 23:22; Joshua 3:17; Joshua 4:1; Joshua 4:11; Psalms 77:8; Isaiah 24:19; Joel 1:7; 2 Peter 2:18
common | changed | shared by all; held in common | Today: usual | @ Acts 2:44; Acts 4:32; Titus 1:4; Jude 1:3
common | changed | ordinary; not set apart as holy; ritually unclean | Today: usual | @ 1 Samuel 21:4; 1 Samuel 21:5; Acts 10:14; Acts 10:15; Acts 10:28; Acts 11:8; Acts 11:9
glass, glasses | changed | a mirror (of polished metal) | Today: the transparent material | @ Job 37:18; Isaiah 3:23; 1 Corinthians 13:12; 2 Corinthians 3:18; James 1:23
grudge, grudging, grudgingly | changed | grumble; complain; (grudgingly) reluctantly | Today: resentment held against someone | @ Psalms 59:15; 2 Corinthians 9:7; James 5:9; 1 Peter 4:9
passion, passions | changed | suffering; also, nature or feelings ("of like passions" = of the same nature) | Today: strong emotion | @ Acts 1:3; Acts 14:15; James 5:17
mark | changed | a target; a goal | Today: a sign or stain | @ 1 Samuel 20:20; Job 7:20; Job 16:12; Lamentations 3:12; Philippians 3:14
mark, marked | changed | notice; pay careful attention to; take note of | Today: make a sign on something | @ Ruth 3:4; 2 Samuel 13:28; 1 Kings 20:7; 1 Kings 20:22; Job 18:2; Job 21:5; Job 33:31; Job 39:1; Psalms 37:37; Psalms 48:13; Psalms 56:6; Psalms 130:3; Ezekiel 44:5; Luke 14:7; Romans 16:17; Philippians 3:17
natural | changed | of ordinary human nature, without the Spirit; physical | Today: normal; organic | @ 1 Corinthians 2:14; 1 Corinthians 15:44; 1 Corinthians 15:46
sense | changed | the meaning | Today: a feeling or ability | @ Nehemiah 8:8
title | changed | an inscription; a marker with writing on it | Today: a name or rank | @ 2 Kings 23:17; John 19:19; John 19:20
painful | changed | wearisome; troublesome | Today: hurting | @ Psalms 73:16
moderation | changed | gentleness; a reasonable, forbearing spirit | Today: restraint | @ Philippians 4:5
wink, winked | changed | overlook; ignore | Today: close one eye briefly | @ Acts 17:30
tale | changed | a count; a number | Today: a story | @ Exodus 5:8; Exodus 5:18; 1 Samuel 18:27; 1 Chronicles 9:28
offend | changed | cause to stumble; cause to sin | Today: insult or upset | @ Matthew 5:29; Matthew 5:30; Matthew 13:41; Matthew 17:27; Matthew 18:6; Matthew 18:8; Matthew 18:9; Mark 9:42; Mark 9:43; Mark 9:45; Mark 9:47; Luke 17:2; John 6:61; 1 Corinthians 8:13
offended | changed | caused to stumble; fell away from faith; took offence | Today: upset | @ Matthew 11:6; Matthew 13:21; Matthew 13:57; Matthew 24:10; Matthew 26:31; Matthew 26:33; Mark 4:17; Mark 6:3; Mark 14:27; Mark 14:29; Luke 7:23; John 16:1; Romans 14:21; 2 Corinthians 11:29
thy seed, his seed, her seed, my seed, their seed, your seed | changed | descendants; offspring | Today: what a plant grows from | @! Leviticus 26:16; Deuteronomy 11:10; Deuteronomy 14:22; Deuteronomy 22:9; 1 Samuel 8:15; Job 39:12; Ecclesiastes 11:6; Isaiah 17:11; Isaiah 30:23; Luke 8:5; 2 Corinthians 9:10
ought | changed | anything | Today: should | @ Genesis 39:6; Genesis 47:18; Exodus 5:8; Exodus 5:11; Exodus 5:19; Exodus 12:46; Exodus 22:14; Exodus 29:34; Leviticus 11:25; Leviticus 19:6; Leviticus 25:14; Leviticus 27:31; Numbers 15:24; Numbers 15:30; Numbers 30:6; Deuteronomy 4:2; Deuteronomy 15:2; Deuteronomy 26:14; Joshua 21:45; Ruth 1:17; 1 Samuel 12:4; 1 Samuel 12:5; 1 Samuel 25:7; 1 Samuel 30:22; 2 Samuel 3:35; 2 Samuel 14:10; 2 Samuel 14:19; Matthew 5:23; Matthew 21:3; Mark 7:12; Mark 8:23; Mark 11:25; John 4:33; Acts 4:32; Acts 28:19; Philemon 1:18
gerahs | unit | a twentieth of a shekel
tidings | archaic | news; a report
sore afraid, sore displeased, sore distressed, sore troubled, sore amazed, sore pained | changed | very; greatly ("sore afraid" = very afraid) | Today: painful
peculiar | changed | belonging especially to one owner; treasured | Today: strange
confound, confounded | changed | put to shame; defeat; throw into confusion | Today: puzzle
discover, discovered, discovereth | changed | uncover; reveal; expose | Today: find out
vex, vexed | changed | trouble; harass; torment | Today: annoy
offence, offences | changed | a stumbling block; a cause of sin; a wrong done | Today: an insult, or a crime
surname, surnamed | changed | an additional name; also called (not a family name) | Today: a family name
nativity | archaic | birth; origin
whoredom, whoredoms, whoring | archaic | prostitution; often, unfaithfulness to God (worshipping idols)

without | changed | outside; on the outside ("them that are without" = those outside the church) | Today: lacking; not having | @ Genesis 6:14; Genesis 9:22; Genesis 19:16; Genesis 24:11; Genesis 24:31; Exodus 25:11; Exodus 26:35; Exodus 27:21; Exodus 29:14; Exodus 33:7; Exodus 37:2; Exodus 40:22; Leviticus 4:12; Leviticus 4:21; Leviticus 6:11; Leviticus 8:17; Leviticus 9:11; Leviticus 13:46; Leviticus 13:55; Leviticus 14:40; Leviticus 14:41; Leviticus 16:27; Leviticus 24:3; Leviticus 24:14; Numbers 5:3; Numbers 5:4; Numbers 15:35; Numbers 15:36; Numbers 19:3; Numbers 19:9; Numbers 31:13; Numbers 31:19; Numbers 35:5; Numbers 35:26; Numbers 35:27; Deuteronomy 23:12; Deuteronomy 25:5; Deuteronomy 32:25; Joshua 6:23; 1 Kings 6:6; 1 Kings 6:29; 1 Kings 6:30; 1 Kings 7:9; 1 Kings 8:8; 2 Kings 10:24; 2 Kings 16:18; 2 Kings 23:4; 2 Kings 23:6; 2 Chronicles 5:9; 2 Chronicles 32:3; 2 Chronicles 32:5; 2 Chronicles 33:14; Ezra 10:13; Nehemiah 13:20; Psalms 31:11; Proverbs 1:20; Proverbs 7:12; Proverbs 22:13; Proverbs 24:27; Song of Solomon 8:1; Isaiah 33:7; Jeremiah 9:21; Jeremiah 21:4; Ezekiel 2:10; Ezekiel 7:15; Ezekiel 40:19; Ezekiel 40:40; Ezekiel 41:9; Ezekiel 41:17; Ezekiel 41:25; Ezekiel 42:7; Ezekiel 43:21; Ezekiel 46:2; Ezekiel 47:2; Hosea 7:1; Matthew 12:46; Matthew 12:47; Matthew 26:69; Mark 1:45; Mark 3:31; Mark 3:32; Mark 4:11; Mark 11:4; Luke 1:10; Luke 8:20; Luke 11:40; Luke 13:25; John 18:16; John 20:11; Acts 5:23; 1 Corinthians 5:12; 1 Corinthians 5:13; 2 Corinthians 7:5; 2 Corinthians 11:28; Colossians 4:5; 1 Thessalonians 4:12; 1 Timothy 3:7; Hebrews 13:11; Hebrews 13:12; Hebrews 13:13; Revelation 11:2; Revelation 14:20; Revelation 22:15
from without | archaic | from outside
